file_path,image_name,true_type,corner_L,corner_R,YES,MAYBE,NO,verdict,correct,outcome,fp_reason
normal_glassess/pexels-kamil-rybarski-3231771-9428769.jpg,pexels-kamil-rybarski-3231771-9428769.jpg,normal,0.679,1.000,,X,,MAYBE,0,FP,one endpiece/lens-glint on R side reads as module (thick frame or reflection)
normal_glassess/images (33).jpeg,images (33).jpeg,normal,1.000,0.154,,X,,MAYBE,0,FP,thick frame + bright green lens glint at corner + cluttered background
normal_glassess/images (39).jpeg,images (39).jpeg,normal,1.000,0.413,,X,,MAYBE,0,FP,one endpiece/lens-glint on L side reads as module (thick frame or reflection)
normal_glassess/iCLHgMOz0RFBKNsKuqmuY9Oz-GH3i8OD2AkCDAasXPoPzL7Dju1OYg2OLNO2W80MG9dpkkLlwmUmPuV5QcbwPC5Szb5d8G27eAW6Pvi9d5Zz6GEoyislnLfXwiM_zeVwaEK10N3Ii4atH3HguMjbSmnVN5vAfWuH0Od2pTNH_rDFKEFpZO22XirulvSYRZh0.jpeg,iCLHgMOz0RFBKNsKuqmuY9Oz-GH3i8OD2AkCDAasXPoPzL7Dju1OYg2OLNO2W80MG9dpkkLlwmUmPuV5QcbwPC5Szb5d8G27eAW6Pvi9d5Zz6GEoyislnLfXwiM_zeVwaEK10N3Ii4atH3HguMjbSmnVN5vAfWuH0Od2pTNH_rDFKEFpZO22XirulvSYRZh0.jpeg,normal,0.018,1.000,,X,,MAYBE,0,FP,genuine ultra-thick tortoise endpiece + rivet reads as module (R side)
normal_glassess/images (47).jpeg,images (47).jpeg,normal,0.999,0.393,,X,,MAYBE,0,FP,thick tortoise endpiece with metal rivet resembles module
normal_glassess/images (32).jpeg,images (32).jpeg,normal,0.009,0.999,,X,,MAYBE,0,FP,one endpiece/lens-glint on R side reads as module (thick frame or reflection)
normal_glassess/vXzlk9sjPa6BPNGRZFzGtk3H-jUKbLe-9n0N7IXlWtwUiOG0Bsbhviwno51aIJJWCk8USp8cvZQ5glWD7lXrG4dhg0OAQUEFrAwjmP7IBg70t_4XkJON3SqmrU7m48CnMaZVixq748QT_ctCkKpeb5550ckGgelyQZi4xEgYMcTDwUWy1FMKvYPTN8mG0K2y.jpeg,vXzlk9sjPa6BPNGRZFzGtk3H-jUKbLe-9n0N7IXlWtwUiOG0Bsbhviwno51aIJJWCk8USp8cvZQ5glWD7lXrG4dhg0OAQUEFrAwjmP7IBg70t_4XkJON3SqmrU7m48CnMaZVixq748QT_ctCkKpeb5550ckGgelyQZi4xEgYMcTDwUWy1FMKvYPTN8mG0K2y.jpeg,normal,0.999,0.141,,X,,MAYBE,0,FP,one endpiece/lens-glint on L side reads as module (thick frame or reflection)
normal_glassess/images (35).jpeg,images (35).jpeg,normal,0.997,0.599,,X,,MAYBE,0,FP,one endpiece/lens-glint on L side reads as module (thick frame or reflection)
normal_glassess/images - 2026-07-07T112826.285.jpeg,images - 2026-07-07T112826.285.jpeg,normal,0.996,0.952,,X,,MAYBE,0,FP,ultra-thick matte VOYAGE square endpiece looks module-like on both sides
normal_glassess/img_1774414812743_48.jpg,img_1774414812743_48.jpg,normal,0.996,0.104,,X,,MAYBE,0,FP,one endpiece/lens-glint on L side reads as module (thick frame or reflection)
normal_glassess/images (27).jpeg,images (27).jpeg,normal,0.995,0.187,,X,,MAYBE,0,FP,clear frame; hands at temples + green lens reflection
normal_glassess/images (36).jpeg,images (36).jpeg,normal,0.993,0.085,,X,,MAYBE,0,FP,thin/clear frame; bright teal lens reflection near corner read as module
